"Label (Grouping)","Congressional District 1 (116th Congress), New York","Congressional District 2 (116th Congress), New York","Congressional District 3 (116th Congress), New York","Congressional District 4 (116th Congress), New York","Congressional District 5 (116th Congress), New York","Congressional District 6 (116th Congress), New York","Congressional District 7 (116th Congress), New York","Congressional District 8 (116th Congress), New York","Congressional District 9 (116th Congress), New York","Congressional District 10 (116th Congress), New York","Congressional District 11 (116th Congress), New York","Congressional District 12 (116th Congress), New York","Congressional District 13 (116th Congress), New York","Congressional District 14 (116th Congress), New York","Congressional District 15 (116th Congress), New York","Congressional District 16 (116th Congress), New York","Congressional District 17 (116th Congress), New York","Congressional District 18 (116th Congress), New York","Congressional District 19 (116th Congress), New York","Congressional District 20 (116th Congress), New York","Congressional District 21 (116th Congress), New York","Congressional District 22 (116th Congress), New York","Congressional District 23 (116th Congress), New York","Congressional District 24 (116th Congress), New York","Congressional District 25 (116th Congress), New York","Congressional District 26 (116th Congress), New York","Congressional District 27 (116th Congress), New York"
"Total:","740,319","728,156","739,197","751,432","778,780","769,247","762,833","804,400","755,842","803,803","766,236","811,688","736,348","750,025","767,335","770,401","763,751","748,442","698,673","746,290","705,041","696,610","693,509","717,307","733,041","742,451","720,092"
"    Population of one race:","673,004","653,917","685,017","683,247","697,579","707,190","677,866","730,423","690,125","741,134","709,755","740,050","630,016","658,003","662,575","687,934","688,510","676,296","646,619","688,481","666,477","655,587","650,921","670,049","680,378","696,558","686,075"
"        White alone","540,023","449,986","472,922","416,510","92,433","248,691","270,092","212,529","246,086","481,771","444,504","521,881","139,243","193,136","63,699","277,319","461,369","495,190","574,760","539,191","623,594","586,064","596,380","566,524","497,391","485,388","646,673"
"        Black or African American alone","40,307","68,661","22,428","106,315","354,657","31,557","69,774","373,592","331,672","35,581","59,385","43,495","205,107","73,064","256,308","242,860","71,541","76,469","32,086","76,919","20,054","32,212","20,255","63,812","118,357","142,634","17,070"
"        American Indian and Alaska Native alone","4,443","4,452","2,155","3,890","11,289","4,315","10,375","4,909","3,441","4,084","5,646","2,961","10,134","14,211","13,708","5,956","4,690","4,397","2,567","2,642","7,030","2,240","4,713","4,264","2,019","4,057","5,102"
"        Asian alone","30,363","29,918","143,930","60,959","116,008","336,392","147,970","60,858","61,246","163,017","130,631","124,310","38,355","143,328","19,898","41,657","50,173","24,486","12,716","44,950","7,195","22,568","16,527","21,801","32,296","43,133","8,442"
"        Native Hawaiian and Other Pacific Islander alone","200","206","210","254","921","271","613","558","323","520","309","937","691","499","1,004","439","222","266","188","398","448","254","197","235","258","250","144"
"        Some Other Race alone","57,668","100,694","43,372","95,319","122,271","85,964","179,042","77,977","47,357","56,161","69,280","46,466","236,486","233,765","307,958","119,703","100,515","75,488","24,302","24,381","8,156","12,249","12,849","13,413","30,057","21,096","8,644"
"    Population of two or more races:","67,315","74,239","54,180","68,185","81,201","62,057","84,967","73,977","65,717","62,669","56,481","71,638","106,332","92,022","104,760","82,467","75,241","72,146","52,054","57,809","38,564","41,023","42,588","47,258","52,663","45,893","34,017"
"        Population of two races:","63,700","70,511","51,520","64,568","75,973","57,875","78,223","68,713","61,660","58,610","52,747","67,013","95,588","85,396","96,242","76,064","70,820","67,160","48,919","53,952","36,638","38,799","40,246","44,240","48,959","42,689","32,404"
