ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",704350,-0.0215,0.4074,0.5655,0.0272,575056,0.9039,0.0961,0.0164,0.0151,0.0087,0.0474,0.0011,
"2",757321,0.0521,0.4134,0.5549,0.0317,583072,0.7899,0.2101,0.0856,0.0704,0.0295,0.0226,0.0011,
"3",753623,0.047,0.4547,0.5129,0.0325,577826,0.7959,0.2041,0.0655,0.0902,0.026,0.0209,0.0011,
"4",697854,-0.0305,0.3804,0.5895,0.0301,552375,0.8973,0.1027,0.0303,0.0257,0.0139,0.0244,0.0009,
"5",670703,-0.0682,0.5267,0.4448,0.0285,525385,0.7462,0.2538,0.0451,0.169,0.0125,0.0243,0.0007,
"6",721654,0.0026,0.4564,0.5122,0.0314,559330,0.8061,0.1939,0.0547,0.0869,0.0217,0.0251,0.001,
"7",715305,-0.0063,0.4244,0.5465,0.0291,561886,0.8648,0.1352,0.0402,0.0511,0.0145,0.0237,0.0008,
"8",739881,0.0279,0.4787,0.4946,0.0267,582313,0.8087,0.1913,0.0482,0.065,0.0524,0.0207,0.001,
"9",720428,0.0009,0.5597,0.4128,0.0275,580535,0.7566,0.2434,0.0247,0.14,0.0567,0.0172,0.0009,
"10",725177,0.0075,0.3613,0.6129,0.0258,574438,0.8862,0.1138,0.0294,0.0363,0.0215,0.0187,0.0007,
"11",757811,0.0528,0.4971,0.4794,0.0235,601028,0.7674,0.2326,0.035,0.0607,0.1151,0.0155,0.0008,
"12",747156,0.038,0.6434,0.3306,0.026,593020,0.724,0.276,0.0624,0.1202,0.0688,0.0214,0.0013,
"13",674566,-0.0629,0.7943,0.1814,0.0243,512844,0.3454,0.6546,0.068,0.5531,0.0211,0.0202,0.0011,
"14",691502,-0.0393,0.7913,0.1905,0.0182,535494,0.3309,0.6691,0.0457,0.5565,0.0598,0.0135,0.0009,
"",719809,0.121,0.5045,0.4681,0.0274,565329,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
