ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",740319,-0.0105,0.4949,0.4869,0.0182,594762,0.727,0.273,0.1517,0.0648,0.0473,0.0149,0.001,
"2",728156,-0.0268,0.509,0.4745,0.0164,574443,0.6096,0.3904,0.2365,0.1064,0.0464,0.0162,0.001,
"3",739197,-0.012,0.5673,0.4161,0.0167,589552,0.6442,0.3558,0.1148,0.0379,0.1964,0.0084,0.0011,
"4",751432,0.0043,0.5845,0.4004,0.0151,590035,0.5486,0.4514,0.2046,0.1579,0.0874,0.0124,0.0013,
"5",778780,0.0409,0.8732,0.1175,0.0093,616662,0.1018,0.8982,0.1855,0.5132,0.1737,0.0275,0.0048,
"6",769247,0.0281,0.6817,0.2973,0.021,630063,0.3066,0.6934,0.1891,0.0537,0.4526,0.0118,0.0018,
"7",762833,0.0196,0.8686,0.1047,0.0267,597588,0.3086,0.6914,0.3714,0.1233,0.2158,0.026,0.003,
"8",804400,0.0751,0.8662,0.1171,0.0168,644888,0.2585,0.7415,0.1715,0.5063,0.0896,0.0154,0.0026,
"9",755842,0.0102,0.8556,0.1245,0.0199,599591,0.3126,0.6874,0.1138,0.495,0.0951,0.0123,0.0017,
"10",803803,0.0743,0.7978,0.1774,0.0248,648022,0.5792,0.4208,0.1288,0.0606,0.2238,0.0118,0.0023,
"11",766236,0.0241,0.5118,0.4713,0.0169,602124,0.5745,0.4255,0.1617,0.0869,0.1802,0.014,0.0016,
"12",811688,0.0849,0.8342,0.1393,0.0265,717537,0.6278,0.3722,0.1293,0.0651,0.1711,0.0102,0.0034,
"13",736348,-0.0158,0.9188,0.0611,0.0201,596758,0.1593,0.8407,0.5099,0.3437,0.0648,0.0298,0.0034,
"14",750025,0.0024,0.7942,0.1858,0.02,599471,0.2256,0.7744,0.4664,0.1245,0.2036,0.0313,0.0027,
"15",767335,0.0256,0.9303,0.0602,0.0095,568276,0.0274,0.9726,0.6414,0.3981,0.0331,0.0337,0.0042,
"16",770401,0.0297,0.7713,0.2133,0.0154,601333,0.3423,0.6577,0.2629,0.3549,0.0625,0.0174,0.0021,
"17",763751,0.0208,0.6231,0.3572,0.0197,574262,0.5816,0.4184,0.2257,0.1146,0.0757,0.0146,0.0012,
"18",748442,0.0003,0.5229,0.453,0.0241,576923,0.6566,0.3434,0.1735,0.1191,0.0404,0.0182,0.0013,
"19",698673,-0.0662,0.4988,0.4708,0.0303,569874,0.8211,0.1789,0.0752,0.0563,0.0231,0.0203,0.0012,
"20",746290,-0.0025,0.579,0.3864,0.0346,599241,0.7401,0.2599,0.0616,0.1101,0.0664,0.0185,0.0017,
"21",705041,-0.0577,0.4531,0.5142,0.0328,563064,0.8803,0.1197,0.0321,0.0368,0.0139,0.0285,0.0014,
"22",696610,-0.0689,0.4554,0.5112,0.0334,555972,0.8505,0.1495,0.0388,0.0508,0.0355,0.0185,0.0011,
"23",693509,-0.0731,0.4503,0.516,0.0337,554621,0.8608,0.1392,0.0406,0.0381,0.0304,0.0228,0.0011,
"24",717307,-0.0413,0.5375,0.4275,0.035,568916,0.8063,0.1937,0.0424,0.093,0.0342,0.0216,0.0013,
"25",733041,-0.0203,0.592,0.3749,0.0331,584249,0.6958,0.3042,0.082,0.1629,0.0509,0.0146,0.0012,
"26",742451,-0.0077,0.633,0.3418,0.0252,591081,0.6763,0.3237,0.0625,0.1906,0.0601,0.0161,0.0011,
"27",720092,-0.0376,0.4166,0.5562,0.0272,578827,0.9024,0.0976,0.0281,0.0296,0.0144,0.019,0.0008,
"",748194,0.158,0.6325,0.3439,0.0236,595857,0.5446,0.4554,0.1819,0.1679,0.1062,0.0186,0.0019,
