GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP21,NHSP_POP21,HSP_POP21,WHT_NHSP21,BLK_NHSP21,AIA_NHSP21,ASN_NHSP21,HPI_NHSP21,OTH_NHSP21,2OM_NHSP21,BLK_ALL21,AIA_ALL21,ASN_ALL21,HPI_ALL21,OTH_ALL21
26071000100,26, Michigan,071, Iron County,2193,2091,102,2036,0,7,16,0,5,27,9,18,42,15,75
26071000200,26, Michigan,071, Iron County,1862,1807,55,1784,0,6,0,0,0,17,0,17,0,0,38
26071000300,26, Michigan,071, Iron County,2415,2383,32,2270,27,36,8,0,0,42,47,36,8,17,54
26071000400,26, Michigan,071, Iron County,2454,2420,34,2226,78,19,31,0,10,56,107,38,56,0,23
26071000500,26, Michigan,071, Iron County,2656,2619,37,2552,36,15,2,0,4,10,40,28,2,0,19
26067030101,26, Michigan,067, Ionia County,2821,2641,180,2554,30,7,9,0,0,41,49,29,26,0,38
26067030102,26, Michigan,067, Ionia County,3900,3754,146,3535,26,5,7,0,0,181,105,40,63,54,57
26067030200,26, Michigan,067, Ionia County,3166,3105,61,2845,20,1,10,0,0,229,144,53,41,31,1
26067030300,26, Michigan,067, Ionia County,2904,2719,185,2693,0,0,0,0,0,26,0,26,0,0,185
26067030401,26, Michigan,067, Ionia County,3681,3585,96,3522,13,8,32,0,0,10,13,18,32,0,55
26067030402,26, Michigan,067, Ionia County,3074,2969,105,2896,0,3,0,0,0,70,58,15,0,0,72
26067031200,26, Michigan,067, Ionia County,5490,5215,275,5018,90,0,28,0,0,79,105,38,72,0,121
26067031301,26, Michigan,067, Ionia County,5029,4834,195,4768,15,3,3,0,0,45,30,11,19,0,73
26067031302,26, Michigan,067, Ionia County,3332,3220,112,3083,0,11,62,0,0,64,12,60,109,10,56
26067031400,26, Michigan,067, Ionia County,5570,5417,153,5085,36,0,29,0,0,267,138,45,29,0,136
26067031500,26, Michigan,067, Ionia County,5348,5301,47,4905,78,0,134,0,37,147,148,99,134,0,63
26067031600,26, Michigan,067, Ionia County,5757,5255,502,4915,225,1,36,0,0,78,258,49,52,0,137
26067031700,26, Michigan,067, Ionia County,5247,4609,638,4468,120,0,0,0,0,21,228,21,0,0,329
